"24 Mar",26.4,7.1,14.60,2.90,0.00,7.2,3.6,1025.00,1026.60,1021.00,0,7
"25 Mar",25.3,12.8,13.50,6.50,0.00,9.4,4.0,1000.00,1022.00,1014.20,0,8
"26 Mar",21.5,12.3,15.50,8.50,4.30,8.9,4.5,1202.00,1021.80,1014.90,0,8
"27 Mar",18.6,8.6,8.40,-11.20,0.00,10.3,4.5,969.00,1027.90,1021.50,0,7
"28 Mar",23.6,6.6,8.10,-1.10,0.00,6.3,3.1,946.00,1029.60,1024.60,0,7
"29 Mar",25.4,6.3,12.90,0.20,0.00,4.5,2.2,981.00,1026.70,1020.00,0,7
"30 Mar",26.9,11.2,16.10,8.90,0.00,6.7,3.6,1264.00,1021.00,1015.40,0,8
"31 Mar",24.3,13.0,18.20,5.90,0.00,8.0,3.1,1260.00,1020.00,1013.60,0,8
"01 Apr",15.6,10.7,6.30,-1.20,0.00,8.0,3.6,854.00,1023.80,1018.90,0,7
"02 Apr",16.9,8.2,10.80,3.60,5.40,5.8,2.2,965.00,1023.50,1018.30,0,7
"03 Apr",23.1,4.4,12.30,0.40,0.20,5.8,2.2,942.00,1029.50,1023.50,0,8
"04 Apr",25.3,7.6,14.40,4.70,0.00,9.4,4.5,1146.00,1028.50,1022.90,0,8
"05 Apr",27.7,15.8,19.50,11.20,0.50,6.3,2.7,1164.00,1023.00,1016.90,0,8
"06 Apr",23.1,18.7,20.90,15.50,5.40,5.4,2.7,861.00,1022.50,1018.60,0,6
"07 Apr",29.1,17.3,22.10,16.00,0.00,6.3,2.7,1072.00,1024.60,1018.30,0,8
"08 Apr",29.8,20.1,23.20,17.30,4.30,9.4,4.9,1118.00,1020.00,1011.60,0,10
"09 Apr",27.6,19.3,21.90,17.50,4.30,8.5,3.6,1164.00,1012.90,1004.50,0,9
"10 Apr",29.1,18.1,17.80,13.70,1.30,4.5,2.2,860.00,1012.10,1006.60,0,6
"11 Apr",29.6,17.7,22.20,14.30,0.00,11.6,4.5,1306.00,1015.30,1011.80,0,10
"12 Apr",30.6,20.9,21.90,16.90,4.60,7.6,3.1,1074.00,1017.60,1014.10,0,9
"13 Apr",30.7,20.3,24.10,18.00,0.20,8.0,4.0,1213.00,1017.90,1012.80,0,10
"14 Apr",27.2,21.6,21.70,17.00,3.30,11.6,4.9,459.00,1013.40,1005.50,0,4
"15 Apr",22.5,11.4,17.20,0.80,3.30,8.9,4.0,1014.00,1021.00,1008.10,0,9
"16 Apr",26.8,7.3,11.20,4.70,0.00,5.4,2.7,997.00,1025.70,1020.90,0,9
"17 Apr",28.0,11.5,18.30,9.70,0.00,4.9,2.7,1074.00,1022.40,1017.30,0,9
"18 Apr",29.3,17.4,19.30,13.00,0.00,7.6,4.0,1192.00,1019.30,1010.80,0,11
"19 Apr",25.6,15.4,20.10,5.90,7.10,13.9,6.7,898.00,1011.70,999.60,0,7
"20 Apr",20.7,9.9,7.70,1.60,0.00,11.6,4.9,1283.00,1016.30,1007.90,0,8
"21 Apr",24.7,9.8,8.90,-3.10,0.00,8.9,3.6,1011.00,1021.90,1016.30,0,9
"22 Apr",28.8,7.4,12.50,-1.10,0.00,4.9,2.2,1005.00,1023.30,1019.80,0,8
"23 Apr",31.0,10.5,16.10,6.70,0.00,5.8,2.2,1005.00,1021.50,1016.90,0,9
"24 Apr",31.5,14.2,17.80,8.30,0.00,7.2,2.7,1055.00,1018.30,1014.30,0,9
"25 Apr",29.5,13.5,18.10,11.40,0.00,6.7,3.1,1028.00,1016.60,1011.40,0,9
"26 Apr",27.6,13.4,16.90,2.80,0.50,10.7,4.9,1288.00,1015.10,1007.60,0,10
"27 Apr",29.1,10.4,7.60,-10.50,0.00,4.9,2.2,1032.00,1018.80,1014.50,0,8
"28 Apr",30.6,9.2,13.90,3.60,0.00,5.8,2.7,1004.00,1020.00,1016.20,0,9
"29 Apr",32.3,13.7,18.80,11.20,0.00,7.6,3.1,1030.00,1024.40,1019.60,0,8
